Uniprot Accession,Molecular weight (Da),Description,Gene,abundance_lb_copies_per_cell,abundance_glucose_copies_per_cell
P45800,79421.84741,Putative membrane protein igaA homolog OS=Escherichia coli (strain K12) GN=yrfF PE=1 SV=1,yrfF,66,35
P36999,30381.21113,Ribosomal RNA large subunit methyltransferase A OS=Escherichia coli (strain K12) GN=rlmA PE=1 SV=1,rlmA,67,39
P0ABW9,15212.60113,Flagellar basal-body rod protein flgB OS=Escherichia coli (strain K12) GN=flgB PE=3 SV=2,flgB,207,128
P16926,39487.79943,Rod shape-determining protein mreC OS=Escherichia coli (strain K12) GN=mreC PE=3 SV=1,mreC,62,44
P60720,23849.28176,Octanoyltransferase OS=Escherichia coli (strain K12) GN=lipB PE=1 SV=1,lipB,46,45
P37751,43142.63685,Uncharacterized protein yefI OS=Escherichia coli (strain K12) GN=yefI PE=4 SV=1,yefI,61,31
P64612,43018.03749,Uncharacterized protein YhcM OS=Escherichia coli (strain K12) GN=yhcM PE=1 SV=1,yhcM,26,31
P64636,25364.60422,Uncharacterized protein yrfG OS=Escherichia coli (strain K12) GN=yrfG PE=4 SV=1,yrfG,93,44
P46118,31937.35128,HTH-type transcriptional regulator hexR OS=Escherichia coli (strain K12) GN=hexR PE=3 SV=2,hexR,113,38
P07364,32810.87818,Chemotaxis protein methyltransferase OS=Escherichia coli (strain K12) GN=cheR PE=4 SV=2,cheR,121,67
P76291,36965.07974,tRNA (mo5U34)-methyltransferase OS=Escherichia coli (strain K12) GN=cmoB PE=3 SV=1,cmoB,58,33
P20966,57463.64429,PTS system fructose-specific EIIBC component OS=Escherichia coli (strain K12) GN=fruA PE=4 SV=1,fruA,60,14
P37692,38999.06083,ADP-heptose--LPS heptosyltransferase 2 OS=Escherichia coli (strain K12) GN=rfaF PE=1 SV=1,rfaF,76,44
P08395,67159.17675,Protease 4 OS=Escherichia coli (strain K12) GN=sppA PE=1 SV=2,sppA,26,16
P75954,34596.11664,"Probable L,D-transpeptidase YcfS OS=Escherichia coli (strain K12) GN=ycfS PE=1 SV=1",ycfS,22,24
P07762,84265.77174,"1,4-alpha-glucan-branching enzyme OS=Escherichia coli (strain K12) GN=glgB PE=1 SV=1",glgB,21,26
P0A9S5,38669.68853,Glycerol dehydrogenase OS=Escherichia coli (strain K12) GN=gldA PE=1 SV=1,gldA,119,56
P62554,11680.9596,Cytotoxic protein CcdB OS=Escherichia coli (strain K12) GN=ccdB PE=1 SV=1,ccdB,148,26
P75936,23542.80991,Basal-body rod modification protein flgD OS=Escherichia coli (strain K12) GN=flgD PE=3 SV=1,flgD,2367,720
P0A6S3,38127.74883,Flagellar P-ring protein OS=Escherichia coli (strain K12) GN=flgI PE=3 SV=1,flgI,43,15
P39160,53527.93264,D-mannonate oxidoreductase OS=Escherichia coli (strain K12) GN=uxuB PE=3 SV=1,uxuB,152,23
P75867,65759.22598,Putative Lon protease homolog OS=Escherichia coli (strain K12) GN=ycbZ PE=3 SV=1,ycbZ,86,32
P10441,42337.17116,Lipid-A-disaccharide synthase OS=Escherichia coli (strain K12) GN=lpxB PE=1 SV=2,lpxB,49,24
P0CG19,24391.49325,Inactive ribonuclease PH OS=Escherichia coli (strain K12) GN=rph PE=3 SV=1,rph,48,28
P23522,27349.15986,5-keto-4-deoxy-D-glucarate aldolase OS=Escherichia coli (strain K12) GN=garL PE=1 SV=2,garL,667,29
P24178,13573.86528,Protein YffB OS=Escherichia coli (strain K12) GN=yffB PE=1 SV=1,yffB,65,20
P0ABX5,27708.90429,Flagellar basal-body rod protein flgG OS=Escherichia coli (strain K12) GN=flgG PE=3 SV=1,flgG,575,251
P16095,48857.13065,L-serine dehydratase 1 OS=Escherichia coli (strain K12) GN=sdaA PE=1 SV=3,sdaA,145,19
P0AFL6,58081.15167,Exopolyphosphatase OS=Escherichia coli (strain K12) GN=ppx PE=1 SV=2,ppx,13,8
P15028,33107.56426,Fe(3+) dicitrate-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fecB PE=3 SV=3,fecB,454,19
P76115,77194.68595,Probable tonB-dependent receptor yncD OS=Escherichia coli (strain K12) GN=yncD PE=3 SV=1,yncD,31,8
P39187,20389.71435,Uncharacterized protein ytfJ OS=Escherichia coli (strain K12) GN=ytfJ PE=1 SV=1,ytfJ,169,11
P39452,80410.27706,Ribonucleoside-diphosphate reductase 2 subunit alpha OS=Escherichia coli (strain K12) GN=nrdE PE=3 SV=3,nrdE,12,9
P39321,136677.0266,Uncharacterized protein ytfN OS=Escherichia coli (strain K12) GN=ytfN PE=1 SV=2,ytfN,15,8
P06993,103035.8991,HTH-type transcriptional regulator malT OS=Escherichia coli (strain K12) GN=malT PE=1 SV=2,malT,8,5
P77338,127117.3538,Potassium efflux system KefA OS=Escherichia coli (strain K12) GN=kefA PE=1 SV=1,kefA,9,5
P0AES2,49091.57737,Glucarate dehydratase OS=Escherichia coli (strain K12) GN=gudD PE=1 SV=2,gudD,60,3
Q46939,40975.11436,Probable acetyl-CoA acetyltransferase OS=Escherichia coli (strain K12) GN=yqeF PE=3 SV=2,yqeF,16,2
P0AC05,26892.67015,Flagellar biosynthetic protein fliP OS=Escherichia coli (strain K12) GN=fliP PE=3 SV=1,fliP,63,35
P0ADZ7,11861.4007,UPF0092 membrane protein yajC OS=Escherichia coli (strain K12) GN=yajC PE=1 SV=1,yajC,8049,6021
P77717,19401.25324,Uncharacterized lipoprotein ybaY OS=Escherichia coli (strain K12) GN=ybaY PE=1 SV=1,ybaY,766,1322
P0ACC3,12074.75582,Iron-sulfur cluster insertion protein erpA OS=Escherichia coli (strain K12) GN=erpA PE=1 SV=1,erpA,4072,3626
P0A6R3,11214.75515,DNA-binding protein fis OS=Escherichia coli (strain K12) GN=fis PE=1 SV=1,fis,6334,3220
P0A9X9,7380.61749,Cold shock protein CspA OS=Escherichia coli (strain K12) GN=cspA PE=1 SV=2,cspA,4967,1854
P0ADN6,7154.68883,Uncharacterized lipoprotein yifL OS=Escherichia coli (strain K12) GN=yifL PE=4 SV=1,yifL,2756,2325
P77330,10422.52736,Lipoprotein bor homolog from lambdoid prophage DLP12 OS=Escherichia coli (strain K12) GN=borD PE=3 SV=1,borD,4271,3552
P0AF90,15575.03289,Regulator of ribonuclease activity B OS=Escherichia coli (strain K12) GN=rraB PE=1 SV=1,rraB,1468,2195
P37128,21717.06677,GDP-mannose pyrophosphatase nudK OS=Escherichia coli (strain K12) GN=nudK PE=1 SV=2,nudK,4465,2570
P0AG99,11339.85638,Protein-export membrane protein SecG OS=Escherichia coli (strain K12) GN=secG PE=1 SV=1,secG,3344,2171
P77695,6525.5481,Protein gnsB OS=Escherichia coli (strain K12) GN=gnsB PE=3 SV=2,gnsB,2895,2007
P0AAZ7,6832.52157,UPF0434 protein ycaR OS=Escherichia coli (strain K12) GN=ycaR PE=1 SV=1,ycaR,520,1661
P0AAN9,9913.19326,Anti-adapter protein iraP OS=Escherichia coli (strain K12) GN=iraP PE=1 SV=1,iraP,1581,1119
P0AE48,12840.36745,Gamma-glutamylcyclotransferase family protein ytfP OS=Escherichia coli (strain K12) GN=ytfP PE=1 SV=1,ytfP,1736,1274
P0AFW8,9455.67371,Protein rof OS=Escherichia coli (strain K12) GN=rof PE=1 SV=1,rof,1225,926
P0A742,14929.15587,Large-conductance mechanosensitive channel OS=Escherichia coli (strain K12) GN=mscL PE=1 SV=1,mscL,706,680
P30748,8734.43069,Molybdopterin synthase sulfur carrier subunit OS=Escherichia coli (strain K12) GN=moaD PE=1 SV=2,moaD,1075,1027
P0A8C4,21198.07347,UPF0149 protein ygfB OS=Escherichia coli (strain K12) GN=ygfB PE=3 SV=1,ygfB,1780,1168
P0AC19,14055.38764,"D-erythro-7,8-dihydroneopterin triphosphate epimerase OS=Escherichia coli (strain K12) GN=folX PE=1 SV=2",folX,1042,849
P0ADK8,13669.27463,Uncharacterized protein yibL OS=Escherichia coli (strain K12) GN=yibL PE=1 SV=1,yibL,1135,1079
P75818,18961.46217,Uncharacterized lipoprotein ybjP OS=Escherichia coli (strain K12) GN=ybjP PE=1 SV=1,ybjP,443,361
P0A8K5,7191.57041,UPF0253 protein yaeP OS=Escherichia coli (strain K12) GN=yaeP PE=1 SV=1,yaeP,566,506
P0ADS2,12568.40402,Cell division protein ZapA OS=Escherichia coli (strain K12) GN=zapA PE=1 SV=1,zapA,1088,620
P37903,15988.50332,Universal stress protein F OS=Escherichia coli (strain K12) GN=uspF PE=1 SV=2,uspF,1087,306
P63417,18504.27117,Uncharacterized N-acetyltransferase YhbS OS=Escherichia coli (strain K12) GN=yhbS PE=3 SV=1,yhbS,938,462
P28248,21217.97047,Deoxycytidine triphosphate deaminase OS=Escherichia coli (strain K12) GN=dcd PE=1 SV=1,dcd,581,489
P31547,23222.84957,D-methionine transport system permease protein metI OS=Escherichia coli (strain K12) GN=metI PE=1 SV=1,metI,172,355
P0AFZ1,28606.57847,Protein sseB OS=Escherichia coli (strain K12) GN=sseB PE=4 SV=1,sseB,544,409
P23857,11450.0187,Thiosulfate sulfurtransferase PspE OS=Escherichia coli (strain K12) GN=pspE PE=1 SV=1,pspE,6604,490
P76170,12882.61936,UPF0482 protein ynfB OS=Escherichia coli (strain K12) GN=ynfB PE=1 SV=1,ynfB,595,488
P0AD24,8265.27759,UPF0352 protein yejL OS=Escherichia coli (strain K12) GN=yejL PE=1 SV=1,yejL,713,307
P64499,10767.76726,Uncharacterized protein yebO OS=Escherichia coli (strain K12) GN=yebO PE=4 SV=1,yebO,412,479
P06960,36785.42997,Ornithine carbamoyltransferase chain F OS=Escherichia coli (strain K12) GN=argF PE=1 SV=4,argF,21,408
P0AFW4,14899.54592,Regulator of nucleoside diphosphate kinase OS=Escherichia coli (strain K12) GN=rnk PE=1 SV=1,rnk,946,237
P0AAT6,11556.82767,Uncharacterized protein ybeB OS=Escherichia coli (strain K12) GN=ybeB PE=1 SV=1,ybeB,716,330
P0AAP3,10293.31707,Transcriptional repressor frmR OS=Escherichia coli (strain K12) GN=frmR PE=1 SV=1,frmR,381,245
P0A9D4,29280.00172,Serine acetyltransferase OS=Escherichia coli (strain K12) GN=cysE PE=1 SV=1,cysE,338,262
P0AFC3,16428.6146,NADH-quinone oxidoreductase subunit A OS=Escherichia coli (strain K12) GN=nuoA PE=3 SV=1,nuoA,789,248
P37774,27641.8973,Uncharacterized amino-acid ABC transporter ATP-binding protein YecC OS=Escherichia coli (strain K12) GN=yecC PE=3 SV=2,yecC,102,339
P69423,28839.23798,Sec-independent protein translocase protein tatC OS=Escherichia coli (strain K12) GN=tatC PE=1 SV=2,tatC,619,315
P64602,10655.59462,Probable phospholipid ABC transporter-binding protein mlaB OS=Escherichia coli (strain K12) GN=mlaB PE=1 SV=1,mlaB,433,158
P76537,20866.10587,Uncharacterized protein yfeY OS=Escherichia coli (strain K12) GN=yfeY PE=1 SV=1,yfeY,169,189
P0AAN5,7258.62835,Uncharacterized protein yaiA OS=Escherichia coli (strain K12) GN=yaiA PE=1 SV=1,yaiA,30,61
P43533,15839.03181,Flagella synthesis protein flgN OS=Escherichia coli (strain K12) GN=flgN PE=3 SV=2,flgN,1254,1213
P0A7Y8,13762.65097,Ribonuclease P protein component OS=Escherichia coli (strain K12) GN=rnpA PE=3 SV=1,rnpA,374,165
Q46871,28835.53263,Uncharacterized protein yqjH OS=Escherichia coli (strain K12) GN=yqjH PE=4 SV=1,yqjH,101,162
P15993,49639.28287,Aromatic amino acid transport protein AroP OS=Escherichia coli (strain K12) GN=aroP PE=1 SV=3,aroP,24,144
P18196,24741.87589,Septum site-determining protein minC OS=Escherichia coli (strain K12) GN=minC PE=1 SV=1,minC,131,139
P0A8B2,20981.98037,UPF0115 protein yfcN OS=Escherichia coli (strain K12) GN=yfcN PE=3 SV=1,yfcN,231,143
P37757,32280.54451,Uncharacterized isomerase yddE OS=Escherichia coli (strain K12) GN=yddE PE=1 SV=2,yddE,105,122
P0A840,26865.59578,Multifunctional protein surE OS=Escherichia coli (strain K12) GN=surE PE=1 SV=1,surE,227,100
P0A9H5,21967.13764,"Cob(I)yrinic acid a,c-diamide adenosyltransferase OS=Escherichia coli (strain K12) GN=btuR PE=3 SV=1",btuR,952,215
P23917,32461.33074,Fructokinase OS=Escherichia coli (strain K12) GN=mak PE=1 SV=2,mak,120,89
P23331,23423.6654,Thymidine kinase OS=Escherichia coli (strain K12) GN=tdk PE=3 SV=1,tdk,203,112
P0AFB1,33581.82179,Lipoprotein nlpI OS=Escherichia coli (strain K12) GN=nlpI PE=1 SV=1,nlpI,127,124
P77279,25348.13345,Uncharacterized ABC transporter ATP-binding protein YbbL OS=Escherichia coli (strain K12) GN=ybbL PE=1 SV=1,ybbL,219,87
P66817,21074.66913,DnaA initiator-associating protein diaA OS=Escherichia coli (strain K12) GN=diaA PE=1 SV=1,diaA,160,93
P28861,27715.30712,Ferredoxin--NADP reductase OS=Escherichia coli (strain K12) GN=fpr PE=1 SV=4,fpr,69,101
P76445,26723.51423,Inner membrane protein yeiU OS=Escherichia coli (strain K12) GN=yeiU PE=1 SV=2,yeiU,249,92
P0AF52,45663.88814,Putative permease yjcD OS=Escherichia coli (strain K12) GN=yjcD PE=1 SV=1,yjcD,11,72
P77171,33362.60678,Uncharacterized HTH-type transcriptional regulator ydcI OS=Escherichia coli (strain K12) GN=ydcI PE=4 SV=2,ydcI,253,128
P75792,30375.58356,Sugar phosphatase SupH OS=Escherichia coli (strain K12) GN=supH PE=1 SV=1,supH,57,97
Q47690,33383.85831,Homocysteine S-methyltransferase OS=Escherichia coli (strain K12) GN=mmuM PE=1 SV=2,mmuM,37,92
P0AAE0,51607.26069,D-serine/D-alanine/glycine transporter OS=Escherichia coli (strain K12) GN=cycA PE=1 SV=1,cycA,48,63
P21362,18567.66099,Protein yciF OS=Escherichia coli (strain K12) GN=yciF PE=1 SV=1,yciF,8,16
P77781,14917.66901,Esterase YdiI OS=Escherichia coli (strain K12) GN=ydiI PE=1 SV=1,ydiI,38,154
P33355,17943.51142,Uncharacterized protein yehS OS=Escherichia coli (strain K12) GN=yehS PE=4 SV=1,yehS,125,100
P0AA82,43603.22932,Cytosine permease OS=Escherichia coli (strain K12) GN=codB PE=1 SV=1,codB,7,108
P0A9N4,28167.96651,Pyruvate formate-lyase 1-activating enzyme OS=Escherichia coli (strain K12) GN=pflA PE=1 SV=2,pflA,155,88
P0ADR6,41860.12425,Ribosomal RNA large subunit methyltransferase M OS=Escherichia coli (strain K12) GN=rlmM PE=1 SV=1,rlmM,94,76
P0AB10,20603.63296,Uncharacterized lipoprotein ymbA OS=Escherichia coli (strain K12) GN=ymbA PE=4 SV=2,ymbA,80,80
P0A9T6,13144.90646,Uncharacterized HTH-type transcriptional regulator ybaQ OS=Escherichia coli (strain K12) GN=ybaQ PE=1 SV=1,ybaQ,87,128
P0A8Y3,22699.37437,Phosphatase yihX OS=Escherichia coli (strain K12) GN=yihX PE=1 SV=1,yihX,211,60
P77285,21880.35735,Electron transport complex protein rnfG OS=Escherichia coli (strain K12) GN=rnfG PE=3 SV=1,rnfG,142,97
P18390,17323.79744,Uncharacterized protein yjjA OS=Escherichia coli (strain K12) GN=yjjA PE=4 SV=3,yjjA,124,85
P0AC44,12841.03993,Succinate dehydrogenase hydrophobic membrane anchor subunit OS=Escherichia coli (strain K12) GN=sdhD PE=1 SV=1,sdhD,304,110
P0AGG0,35030.6783,Thiamine-monophosphate kinase OS=Escherichia coli (strain K12) GN=thiL PE=3 SV=1,thiL,113,66
P0A809,22053.72413,Holliday junction ATP-dependent DNA helicase ruvA OS=Escherichia coli (strain K12) GN=ruvA PE=1 SV=1,ruvA,176,80
P22729,46221.00501,High-affinity branched-chain amino acid transport system permease protein livM OS=Escherichia coli (strain K12) GN=livM PE=3 SV=2,livM,1,84
P26602,18747.04431,Chorismate--pyruvate lyase OS=Escherichia coli (strain K12) GN=ubiC PE=1 SV=2,ubiC,181,94
P76507,51431.83983,Uncharacterized protein yfdI OS=Escherichia coli (strain K12) GN=yfdI PE=4 SV=1,yfdI,101,62
P0AEW4,30900.59204,Protein icc OS=Escherichia coli (strain K12) GN=icc PE=4 SV=1,icc,116,91
P09549,22906.23661,Protein dedD OS=Escherichia coli (strain K12) GN=dedD PE=4 SV=2,dedD,117,90
P0A7H6,21930.86701,Recombination protein recR OS=Escherichia coli (strain K12) GN=recR PE=3 SV=1,recR,179,64
P27833,41856.10135,Lipopolysaccharide biosynthesis protein rffA OS=Escherichia coli (strain K12) GN=rffA PE=3 SV=2,rffA,120,62
P77806,42917.81339,Aminotransferase YbdL OS=Escherichia coli (strain K12) GN=ybdL PE=1 SV=1,ybdL,21,64
P76008,33528.2494,Murein tetrapeptide carboxypeptidase OS=Escherichia coli (strain K12) GN=ldcA PE=1 SV=1,ldcA,41,75
P0ACL9,29389.36331,Pyruvate dehydrogenase complex repressor OS=Escherichia coli (strain K12) GN=pdhR PE=1 SV=1,pdhR,105,53
P36562,36945.23489,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=cobT PE=3 SV=3,cobT,44,71
P16384,35025.15434,tRNA dimethylallyltransferase OS=Escherichia coli (strain K12) GN=miaA PE=1 SV=2,miaA,45,37
P76256,25146.67925,M22 peptidase homolog yeaZ OS=Escherichia coli (strain K12) GN=yeaZ PE=1 SV=1,yeaZ,107,42
P25539,40294.80788,Riboflavin biosynthesis protein RibD OS=Escherichia coli (strain K12) GN=ribD PE=1 SV=1,ribD,61,48
P41052,40212.24573,Membrane-bound lytic murein transglycosylase B OS=Escherichia coli (strain K12) GN=mltB PE=1 SV=1,mltB,31,29
P0AF98,40313.6055,Lipopolysaccharide export system permease protein lptF OS=Escherichia coli (strain K12) GN=lptF PE=1 SV=1,lptF,60,39
P32157,25308.67636,Protein yiiM OS=Escherichia coli (strain K12) GN=yiiM PE=1 SV=2,yiiM,30,38
P21338,29580.708,Ribonuclease I OS=Escherichia coli (strain K12) GN=rna PE=1 SV=1,rna,59,49
P0AEW9,33716.33963,1-phosphofructokinase OS=Escherichia coli (strain K12) GN=fruK PE=3 SV=1,fruK,135,48
P75728,42908.03312,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase OS=Escherichia coli (strain K12) GN=ubiF PE=1 SV=1",ubiF,56,46
P39830,59367.2376,Inner membrane protein ybaL OS=Escherichia coli (strain K12) GN=ybaL PE=1 SV=2,ybaL,76,42
P30863,29400.44699,"2,5-diketo-D-gluconic acid reductase B OS=Escherichia coli (strain K12) GN=dkgB PE=1 SV=2",dkgB,83,47
P26648,51807.45381,Protein SufI OS=Escherichia coli (strain K12) GN=sufI PE=1 SV=2,sufI,50,41
P13458,118630.9679,Nuclease sbcCD subunit C OS=Escherichia coli (strain K12) GN=sbcC PE=1 SV=1,sbcC,31,63
P0AFP4,29373.10702,Uncharacterized oxidoreductase ybbO OS=Escherichia coli (strain K12) GN=ybbO PE=3 SV=1,ybbO,80,48
P0AAG3,26625.89416,Glutamate/aspartate transport ATP-binding protein GltL OS=Escherichia coli (strain K12) GN=gltL PE=3 SV=1,gltL,15,52
P0A6I6,17807.10425,Phosphopantetheine adenylyltransferase OS=Escherichia coli (strain K12) GN=coaD PE=1 SV=1,coaD,47,40
P0ADV9,21671.13798,Lipopolysaccharide export system protein lptC OS=Escherichia coli (strain K12) GN=lptC PE=1 SV=1,lptC,67,52
P37615,13470.02868,Uncharacterized protein yhhM OS=Escherichia coli (strain K12) GN=yhhM PE=4 SV=1,yhhM,31,39
P05041,50919.63501,Para-aminobenzoate synthase component 1 OS=Escherichia coli (strain K12) GN=pabB PE=1 SV=1,pabB,24,30
P0A9H7,43862.65146,Cyclopropane-fatty-acyl-phospholipid synthase OS=Escherichia coli (strain K12) GN=cfa PE=1 SV=2,cfa,48,40
P68206,8302.08165,UPF0337 protein yjbJ OS=Escherichia coli (strain K12) GN=yjbJ PE=1 SV=1,yjbJ,63,56
P60472,28408.39075,Undecaprenyl pyrophosphate synthase OS=Escherichia coli (strain K12) GN=uppS PE=1 SV=1,uppS,74,36
P42620,37344.61414,Uncharacterized protein yqjG OS=Escherichia coli (strain K12) GN=yqjG PE=3 SV=1,yqjG,18,18
P77376,38215.63903,Uncharacterized oxidoreductase ydgJ OS=Escherichia coli (strain K12) GN=ydgJ PE=1 SV=2,ydgJ,27,54
P25742,38687.9925,Lipopolysaccharide core heptosyltransferase rfaQ OS=Escherichia coli (strain K12) GN=rfaQ PE=1 SV=2,rfaQ,137,44
P0AC51,19223.57739,Zinc uptake regulation protein OS=Escherichia coli (strain K12) GN=zur PE=1 SV=1,zur,168,90
P76035,42175.50636,Uncharacterized protein yciW OS=Escherichia coli (strain K12) GN=yciW PE=4 SV=2,yciW,4,27
P0AAC4,25866.72353,Inner membrane protein YbhL OS=Escherichia coli (strain K12) GN=ybhL PE=1 SV=1,ybhL,28,30
P0AEB0,32498.35892,Sulfate transport system permease protein CysW OS=Escherichia coli (strain K12) GN=cysW PE=1 SV=1,cysW,0,24
P15977,78435.23777,4-alpha-glucanotransferase OS=Escherichia coli (strain K12) GN=malQ PE=3 SV=2,malQ,31,29
P32099,37884.06634,Lipoate-protein ligase A OS=Escherichia coli (strain K12) GN=lplA PE=1 SV=3,lplA,40,17
P0ABK2,42406.96162,Cytochrome d ubiquinol oxidase subunit 2 OS=Escherichia coli (strain K12) GN=cydB PE=1 SV=1,cydB,113,20
P0AGC3,73288.81952,Soluble lytic murein transglycosylase OS=Escherichia coli (strain K12) GN=slt PE=1 SV=1,slt,7,14
P68187,40946.59286,Maltose/maltodextrin import ATP-binding protein MalK OS=Escherichia coli (strain K12) GN=malK PE=1 SV=1,malK,78,25
P0ADC3,43217.91251,Lipoprotein-releasing system transmembrane protein lolC OS=Escherichia coli (strain K12) GN=lolC PE=1 SV=1,lolC,33,31
P0A7C6,24536.95979,Peptidase E OS=Escherichia coli (strain K12) GN=pepE PE=1 SV=1,pepE,240,25
P75791,47281.55224,Uncharacterized protein ybiU OS=Escherichia coli (strain K12) GN=ybiU PE=1 SV=1,ybiU,14,17
P0AEE3,37539.88162,Protease degS OS=Escherichia coli (strain K12) GN=degS PE=1 SV=1,degS,31,49
P31473,56335.57098,ATPase ravA OS=Escherichia coli (strain K12) GN=ravA PE=1 SV=2,ravA,19,12
P03018,81920.30694,DNA helicase II OS=Escherichia coli (strain K12) GN=uvrD PE=1 SV=1,uvrD,49,20
P77569,31284.44117,Mhp operon transcriptional activator OS=Escherichia coli (strain K12) GN=mhpR PE=4 SV=2,mhpR,117,15
P64610,24311.57908,Uncharacterized protein yrbL OS=Escherichia coli (strain K12) GN=yrbL PE=2 SV=1,yrbL,59,12
P77721,28225.67774,Uncharacterized HTH-type transcriptional regulator ydjF OS=Escherichia coli (strain K12) GN=ydjF PE=1 SV=1,ydjF,51,10
B8LFD5,38834.1893,Lac repressor OS=Escherichia coli (strain K12) PE=4 SV=1,#VALUE!,24,16
P0A6B4,39110.1558,"Alanine racemase, biosynthetic OS=Escherichia coli (strain K12) GN=alr PE=1 SV=1",alr,31,22
P13482,63578.54018,Periplasmic trehalase OS=Escherichia coli (strain K12) GN=treA PE=1 SV=1,treA,8,14
P0AEH1,49022.40986,Regulator of sigma E protease OS=Escherichia coli (strain K12) GN=rseP PE=1 SV=1,rseP,27,12
P22586,12644.0365,Flagellar protein fliO OS=Escherichia coli (strain K12) GN=fliO PE=3 SV=3,fliO,289,191
P06709,35271.8493,Bifunctional protein BirA OS=Escherichia coli (strain K12) GN=birA PE=1 SV=1,birA,29,15
P13039,42524.57524,Enterochelin esterase OS=Escherichia coli (strain K12) GN=fes PE=1 SV=1,fes,1,9
P0AED9,53413.30301,DNA-cytosine methyltransferase OS=Escherichia coli (strain K12) GN=dcm PE=1 SV=1,dcm,14,15
P25535,44198.77605,Protein visC OS=Escherichia coli (strain K12) GN=visC PE=3 SV=2,visC,19,10
P28249,68902.09792,Protein AsmA OS=Escherichia coli (strain K12) GN=asmA PE=4 SV=2,asmA,15,13
P0AGL5,17697.12318,Putative toxin YfjG OS=Escherichia coli (strain K12) GN=yfjG PE=1 SV=1,yfjG,181,32
P09348,31972.7302,Motility protein A OS=Escherichia coli (strain K12) GN=motA PE=1 SV=1,motA,265,131
P15877,86673.81201,Quinoprotein glucose dehydrogenase OS=Escherichia coli (strain K12) GN=gcd PE=1 SV=3,gcd,7,3
P0AD27,67235.66157,Inner membrane protein yejM OS=Escherichia coli (strain K12) GN=yejM PE=1 SV=1,yejM,10,4
P16528,29702.3942,Acetate operon repressor OS=Escherichia coli (strain K12) GN=iclR PE=1 SV=1,iclR,7,7
P0AER0,29742.55109,Glycerol uptake facilitator protein OS=Escherichia coli (strain K12) GN=glpF PE=1 SV=1,glpF,1169,40
P77252,25969.26141,Uncharacterized protein ykgE OS=Escherichia coli (strain K12) GN=ykgE PE=3 SV=1,ykgE,45,1
